response_id,customer_id,survey_date,region,customer_segment,industry,response_channel,service_category,nps_score,csat_score,resolution_days,issue_resolved,feedback_text
RSP-0001,CUST-1912,2025-01-13,North America,SMB,Finance,Phone,Product,4,1,14,Yes,Quality has visibly degraded over the last few months.
RSP-0002,CUST-3006,2025-04-25,Asia-Pacific,Enterprise,Manufacturing,Web,Product,4,1,5,Yes,Delivery took twice as long as promised.
RSP-0003,CUST-1839,2025-12-13,Europe,Mid-Market,Finance,Email,Product,7,4,4,Yes,"Support resolved the issue, but communication could be better."
RSP-0004,CUST-4456,2025-01-17,Europe,Mid-Market,Technology,Phone,Product,2,3,21,No,Support response was extremely slow and unhelpful.
RSP-0005,CUST-1767,2025-04-22,North America,Enterprise,Finance,Phone,Product,8,3,5,Yes,"Pricing is fair, but onboarding was slightly confusing."
RSP-0006,CUST-5139,2025-11-05,Europe,Mid-Market,Healthcare,Phone,Product,10,5,3,Yes,Exceptional customer support! Issue resolved within an hour.
RSP-0007,CUST-2628,2025-11-29,Europe,SMB,Technology,Email,Product,6,1,5,No,Platform UI is slow and unintuitive.
RSP-0008,CUST-4436,2025-04-23,North America,Mid-Market,Healthcare,Email,Quality,1,3,10,Yes,Billing error was not resolved on time.
RSP-0009,CUST-3278,2025-01-04,North America,SMB,Finance,Web,Quality,1,1,4,No,Delivery took twice as long as promised.
RSP-0010,CUST-4462,2025-06-24,Europe,Mid-Market,Technology,Email,Delivery,7,4,4,Yes,"Delivery was on time, product packaging was slightly damaged."
RSP-0011,CUST-2273,2025-04-21,North America,SMB,Finance,Phone,Quality,6,2,5,Yes,"Issue took over a week to resolve, very frustrating."
RSP-0012,CUST-1837,2025-02-17,North America,Enterprise,Finance,Email,Delivery,9,5,1,Yes,Top-tier enterprise platform with excellent security features.
RSP-0013,CUST-1792,2025-07-03,North America,Enterprise,Technology,Email,Pricing,7,4,4,Yes,"Acceptable response time, issue was eventually fixed."
RSP-0014,CUST-3166,2025-01-23,North America,SMB,Healthcare,Web,Quality,5,1,5,Yes,Billing error was not resolved on time.
RSP-0015,CUST-2022,2025-07-13,Asia-Pacific,SMB,Technology,Phone,Delivery,2,1,5,No,Product keeps crashing after the latest update.
RSP-0016,CUST-3401,2025-11-18,North America,Mid-Market,Finance,Email,Pricing,10,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0017,CUST-2575,2025-12-27,North America,Enterprise,Finance,Phone,Product,6,3,5,Yes,Product keeps crashing after the latest update.
RSP-0018,CUST-1375,2025-12-05,Europe,SMB,Technology,Web,Customer Support,5,2,5,Yes,Pricing is way too high for the features provided.
RSP-0019,CUST-3370,2025-02-10,Europe,Mid-Market,Technology,Web,Delivery,1,1,7,No,Pricing is way too high for the features provided.
RSP-0020,CUST-1827,2025-07-14,North America,Mid-Market,Technology,Phone,Product,9,5,3,Yes,The team went above and beyond to help us with our migration.
RSP-0021,CUST-4714,2025-11-22,North America,Enterprise,Manufacturing,Web,Product,9,5,1,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0022,CUST-2332,2025-07-09,North America,Enterprise,Retail,In-App,Customer Support,7,4,4,No,"Acceptable response time, issue was eventually fixed."
RSP-0023,CUST-2716,2025-12-10,Latin America,SMB,Finance,Email,Product,10,5,1,Yes,The team went above and beyond to help us with our migration.
RSP-0024,CUST-1584,2025-11-08,Europe,Enterprise,Technology,Phone,Customer Support,9,5,2,Yes,Super fast delivery and pristine quality. Highly recommended!
RSP-0025,CUST-3005,2025-03-25,North America,SMB,Finance,Web,Customer Support,8,3,3,Yes,"Service is okay, expecting more frequent software updates."
RSP-0026,CUST-4108,2025-05-19,North America,SMB,Healthcare,In-App,Customer Support,9,5,1,Yes,Great value for money and outstanding service reliability.
RSP-0027,CUST-3656,2025-01-29,North America,SMB,Technology,Email,Customer Support,4,3,21,No,Pricing is way too high for the features provided.
RSP-0028,CUST-1262,2025-06-11,North America,Enterprise,Manufacturing,Phone,Pricing,10,5,1,Yes,Top-tier enterprise platform with excellent security features.
RSP-0029,CUST-3193,2025-02-03,Asia-Pacific,Mid-Market,Technology,Phone,Pricing,6,2,4,Yes,Pricing is way too high for the features provided.
RSP-0030,CUST-3577,2025-04-19,Middle East & Africa,Enterprise,Healthcare,Web,Customer Support,9,5,1,Yes,Best customer service team in the industry. Kudos!
RSP-0031,CUST-4241,2025-11-26,Asia-Pacific,SMB,Retail,In-App,Delivery,5,2,7,No,Billing error was not resolved on time.
RSP-0032,CUST-2170,2025-05-16,Asia-Pacific,SMB,Technology,Email,Product,8,3,3,Yes,"Average experience, nothing exceptional to report."
RSP-0033,CUST-3020,2025-10-15,North America,Mid-Market,Technology,Email,Quality,5,1,7,No,Platform UI is slow and unintuitive.
RSP-0034,CUST-3152,2025-10-27,North America,Mid-Market,Technology,Email,Customer Support,8,4,4,No,"Decent features for SMBs, but needs better reporting tools."
RSP-0035,CUST-4271,2025-07-05,Europe,Mid-Market,Retail,Email,Delivery,0,1,21,No,Pricing is way too high for the features provided.
RSP-0036,CUST-2133,2025-09-18,Asia-Pacific,Mid-Market,Technology,Email,Product,8,4,3,Yes,"Service is okay, expecting more frequent software updates."
RSP-0037,CUST-1744,2025-01-25,Middle East & Africa,SMB,Finance,Phone,Delivery,2,1,10,Yes,Product keeps crashing after the latest update.
RSP-0038,CUST-2252,2025-11-18,North America,Enterprise,Technology,Web,Customer Support,7,3,3,Yes,"Average experience, nothing exceptional to report."
RSP-0039,CUST-4458,2025-11-02,North America,Mid-Market,Healthcare,Phone,Customer Support,1,1,7,Yes,Product keeps crashing after the latest update.
RSP-0040,CUST-4152,2025-07-15,Asia-Pacific,Mid-Market,Technology,Email,Customer Support,0,2,14,Yes,Frequent downtime impacted our business operations.
RSP-0041,CUST-4834,2025-09-28,North America,Mid-Market,Healthcare,Phone,Pricing,4,3,14,Yes,Quality has visibly degraded over the last few months.
RSP-0042,CUST-1094,2025-12-15,North America,Enterprise,Technology,Email,Customer Support,2,1,10,Yes,Product keeps crashing after the latest update.
RSP-0043,CUST-3185,2025-11-25,Asia-Pacific,Mid-Market,Technology,Web,Customer Support,10,5,2,Yes,Smooth experience from purchase to setup. Very satisfied!
RSP-0044,CUST-1913,2025-05-31,North America,SMB,Retail,In-App,Delivery,3,2,5,No,Customer service agent was rude and transferred me three times.
RSP-0045,CUST-2295,2025-08-21,Asia-Pacific,Mid-Market,Finance,Web,Product,10,5,2,Yes,Exceptional customer support! Issue resolved within an hour.
